ID	Genus	Species	Chilling	Photoperiod	Target Temperature	Measured Temperature	Individual	ID1	ID2	DOY of Budburst	DAY to Budburst	GDH	Location	Chilling	Stage 2 accomplished	Stage 4 accomplished	Budburst success	GDD
Quercus_no_16_5°C_1	Quercus	Quercus robur	low	16	5°C	4.25	1	Quercusrobur1	Quercus robur_1_low_16	228	238	24255	Zürich	27	1	0	0.06	1011
Tilia_no_16_5°C_1	Tilia	Tilia cordata	low	16	5°C	4.24	1	Tiliacordata1	Tilia cordata_1_low_16	221	231	23527	Zürich	27	1	0	0.18	980
Tilia_no_16_5°C_6	Tilia	Tilia cordata	low	16	5°C	4.23	6	Tiliacordata6	Tilia cordata_6_low_16	207	217	22055	Zürich	27	1	0	0.14	919
Tilia_no_16_5°C_8	Tilia	Tilia cordata	low	16	5°C	4.23	8	Tiliacordata8	Tilia cordata_8_low_16	207	217	22055	Zürich	27	1	0	0.23	919
Tilia_no_16_5°C_7	Tilia	Tilia cordata	low	16	5°C	4.24	7	Tiliacordata7	Tilia cordata_7_low_16	186	196	19961	Zürich	27	1	0	0.1	832
Tilia_no_16_5°C_4	Tilia	Tilia cordata	low	16	5°C	4.25	4	Tiliacordata4	Tilia cordata_4_low_16	179	189	19270	Zürich	27	1	0	0.33	803
Quercus_no_16_5°C_3	Quercus	Quercus robur	low	16	5°C	4.25	3	Quercusrobur3	Quercus robur_3_low_16	179	189	19270	Zürich	27	1	0	0.03	803
Quercus_yes_16_5°C_2	Quercus	Quercus robur	high	16	5°C	4.23	2	Quercusrobur2	Quercus robur_2_high_16	221	175	19381	Zürich	83	1	0	0.06	808
Tilia_no_16_5°C_3	Tilia	Tilia cordata	low	16	5°C	4.27	3	Tiliacordata3	Tilia cordata_3_low_16	165	175	17932	Zürich	27	1	0	0.1	747
Tilia_yes_16_5°C_6	Tilia	Tilia cordata	high	16	5°C	4.22	6	Tiliacordata6	Tilia cordata_6_high_16	214	168	18633	Zürich	83	1	0	0.17	776
Tilia_yes_16_5°C_7	Tilia	Tilia cordata	high	16	5°C	4.22	7	Tiliacordata7	Tilia cordata_7_high_16	214	168	18633	Zürich	83	1	0	0.11	776
Tilia_no_16_5°C_5	Tilia	Tilia cordata	low	16	5°C	4.29	5	Tiliacordata5	Tilia cordata_5_low_16	152	162	16683	Zürich	27	1	0	0.56	695
Quercus_no_16_5°C_4	Quercus	Quercus robur	low	16	5°C	4.29	4	Quercusrobur4	Quercus robur_4_low_16	152	162	16683	Zürich	27	1	0	0.09	695
Quercus_no_16_5°C_5	Quercus	Quercus robur	low	16	5°C	4.29	5	Quercusrobur5	Quercus robur_5_low_16	152	162	16683	Zürich	27	1	0	0.07	695
