ID	Genus	Species	Chilling	Photoperiod	Target Temperature	Measured Temperature	Individual	ID1	ID2	DOY of Budburst	DAY to Budburst	GDH	Location	Chilling	Stage 2 accomplished	Stage 4 accomplished	Budburst success	GDD
Quercus_no_16_5°C_8	Quercus	Quercus robur	low	16	5°C	4.29	8	Quercusrobur8	Quercus robur_8_low_16	152	162	16683	Zürich	27	1	0	0.13	695
Fagus_no_16_5°C_1	Fagus	Fagus sylvatica	low	16	5°C	4.3	1	Fagussylvatica1	Fagus sylvatica_1_low_16	147	157	16198	Zürich	27	1	1	0.5	675
Tilia_yes_16_5°C_8	Tilia	Tilia cordata	high	16	5°C	4.22	8	Tiliacordata8	Tilia cordata_8_high_16	200	154	17204	Zürich	83	1	0	0.31	717
Tilia_yes_16_5°C_2	Tilia	Tilia cordata	high	16	5°C	4.22	2	Tiliacordata2	Tilia cordata_2_high_16	193	147	16512	Zürich	83	1	0	0.11	688
Quercus_no_16_5°C_7	Quercus	Quercus robur	low	16	5°C	4.33	7	Quercusrobur7	Quercus robur_7_low_16	133	143	14864	Zürich	27	1	0	0.11	619
Fagus_no_16_5°C_2	Fagus	Fagus sylvatica	low	16	5°C	4.33	2	Fagussylvatica2	Fagus sylvatica_2_low_16	133	143	14864	Zürich	27	1	1	1	619
Acer_yes_16_5°C_5	Acer	Acer pseudoplatanus	high	16	5°C	4.23	5	Acerpseudoplatanus5	Acer pseudoplatanus_5_high_16	186	140	15816	Zürich	83	1	0	0.3	659
Acer_yes_16_5°C_6	Acer	Acer pseudoplatanus	high	16	5°C	4.23	6	Acerpseudoplatanus6	Acer pseudoplatanus_6_high_16	186	140	15816	Zürich	83	1	0	0.21	659
Acer_yes_16_5°C_7	Acer	Acer pseudoplatanus	high	16	5°C	4.23	7	Acerpseudoplatanus7	Acer pseudoplatanus_7_high_16	186	140	15816	Zürich	83	1	0	0.25	659
Tilia_yes_16_5°C_3	Tilia	Tilia cordata	high	16	5°C	4.23	3	Tiliacordata3	Tilia cordata_3_high_16	186	140	15816	Zürich	83	1	0	0.22	659
Tilia_yes_16_5°C_4	Tilia	Tilia cordata	high	16	5°C	4.23	4	Tiliacordata4	Tilia cordata_4_high_16	186	140	15816	Zürich	83	1	0	0.27	659
Fagus_no_16_5°C_7	Fagus	Fagus sylvatica	low	16	5°C	4.34	7	Fagussylvatica7	Fagus sylvatica_7_low_16	130	140	14582	Zürich	27	1	1	1	608
Betula_no_16_5°C_8	Betula	Betula pendula	low	16	5°C	4.35	8	Betulapendula8	Betula pendula_8_low_16	126	136	14207	Zürich	27	1	0	0.67	592
Quercus_no_16_5°C_6	Quercus	Quercus robur	low	16	5°C	4.35	6	Quercusrobur6	Quercus robur_6_low_16	126	136	14207	Zürich	27	1	0	0.28	592
Quercus_yes_16_5°C_7	Quercus	Quercus robur	high	16	5°C	4.23	7	Quercusrobur7	Quercus robur_7_high_16	179	133	15125	Zürich	83	1	0	0.1	630
Fagus_no_16_5°C_3	Fagus	Fagus sylvatica	low	16	5°C	4.36	3	Fagussylvatica3	Fagus sylvatica_3_low_16	123	133	13918	Zürich	27	1	1	0.82	580
Fagus_no_16_5°C_5	Fagus	Fagus sylvatica	low	16	5°C	4.36	5	Fagussylvatica5	Fagus sylvatica_5_low_16	123	133	13918	Zürich	27	1	1	1	580
Fagus_no_16_5°C_6	Fagus	Fagus sylvatica	low	16	5°C	4.36	6	Fagussylvatica6	Fagus sylvatica_6_low_16	123	133	13918	Zürich	27	1	1	1	580
Fagus_no_16_5°C_8	Fagus	Fagus sylvatica	low	16	5°C	4.38	8	Fagussylvatica8	Fagus sylvatica_8_low_16	119	129	13559	Zürich	27	1	1	1	565
Acer_yes_16_5°C_1	Acer	Acer pseudoplatanus	high	16	5°C	4.24	1	Acerpseudoplatanus1	Acer pseudoplatanus_1_high_16	172	126	14437	Zürich	83	1	0	0.1	602
Acer_yes_16_5°C_2	Acer	Acer pseudoplatanus	high	16	5°C	4.24	2	Acerpseudoplatanus2	Acer pseudoplatanus_2_high_16	172	126	14437	Zürich	83	1	1	0.27	602
Acer_yes_16_5°C_4	Acer	Acer pseudoplatanus	high	16	5°C	4.24	4	Acerpseudoplatanus4	Acer pseudoplatanus_4_high_16	172	126	14437	Zürich	83	1	0	0.5	602
Betula_no_16_5°C_6	Betula	Betula pendula	low	16	5°C	4.39	6	Betulapendula6	Betula pendula_6_low_16	116	126	13277	Zürich	27	1	0	0.83	553
Fagus_no_16_5°C_4	Fagus	Fagus sylvatica	low	16	5°C	4.39	4	Fagussylvatica4	Fagus sylvatica_4_low_16	116	126	13277	Zürich	27	1	1	1	553
Tilia_no_16_5°C_2	Tilia	Tilia cordata	low	16	5°C	4.39	2	Tiliacordata2	Tilia cordata_2_low_16	112	122	12846	Zürich	27	1	0	0.07	535
Acer_yes_16_5°C_3	Acer	Acer pseudoplatanus	high	16	5°C	4.26	3	Acerpseudoplatanus3	Acer pseudoplatanus_3_high_16	165	119	13787	Zürich	83	1	0	0.2	574
Quercus_yes_16_5°C_4	Quercus	Quercus robur	high	16	5°C	4.26	4	Quercusrobur4	Quercus robur_4_high_16	165	119	13787	Zürich	83	1	0	0.08	574
Quercus_yes_16_5°C_5	Quercus	Quercus robur	high	16	5°C	4.26	5	Quercusrobur5	Quercus robur_5_high_16	165	119	13787	Zürich	83	1	0	0.2	574
Betula_no_16_5°C_2	Betula	Betula pendula	low	16	5°C	4.38	2	Betulapendula2	Betula pendula_2_low_16	109	119	12523	Zürich	27	1	0	0.92	522
Betula_no_16_5°C_4	Betula	Betula pendula	low	16	5°C	4.38	4	Betulapendula4	Betula pendula_4_low_16	109	119	12523	Zürich	27	1	0	0.85	522
Fagus_yes_16_5°C_1	Fagus	Fagus sylvatica	high	16	5°C	4.28	1	Fagussylvatica1	Fagus sylvatica_1_high_16	158	112	13107	Zürich	83	1	0	0.38	546
Betula_no_16_5°C_1	Betula	Betula pendula	low	16	5°C	4.41	1	Betulapendula1	Betula pendula_1_low_16	102	112	11845	Zürich	27	1	0	0.87	494
Carpinus_no_16_5°C_7	Carpinus	Carpinus betulus	low	16	5°C	4.41	7	Carpinusbetulus7	Carpinus betulus_7_low_16	102	112	11845	Zürich	27	1	0	0.35	494
Betula_no_16_5°C_3	Betula	Betula pendula	low	16	5°C	4.41	3	Betulapendula3	Betula pendula_3_low_16	99	109	11534	Zürich	27	1	0	0.68	481
Betula_no_16_5°C_5	Betula	Betula pendula	low	16	5°C	4.41	5	Betulapendula5	Betula pendula_5_low_16	99	109	11534	Zürich	27	1	0	0.65	481
Carpinus_no_16_5°C_5	Carpinus	Carpinus betulus	low	16	5°C	4.41	5	Carpinusbetulus5	Carpinus betulus_5_low_16	99	109	11534	Zürich	27	1	0	1	481
Carpinus_no_16_5°C_8	Carpinus	Carpinus betulus	low	16	5°C	4.41	8	Carpinusbetulus8	Carpinus betulus_8_low_16	99	109	11534	Zürich	27	1	0	0.38	481
Tilia_yes_16_5°C_5	Tilia	Tilia cordata	high	16	5°C	4.29	5	Tiliacordata5	Tilia cordata_5_high_16	152	106	12537	Zürich	83	1	0	0.41	522
Carpinus_no_16_5°C_3	Carpinus	Carpinus betulus	low	16	5°C	4.4	3	Carpinusbetulus3	Carpinus betulus_3_low_16	96	106	11205	Zürich	27	1	0	0.91	467
Acer_yes_16_5°C_8	Acer	Acer pseudoplatanus	high	16	5°C	4.31	8	Acerpseudoplatanus8	Acer pseudoplatanus_8_high_16	147	101	12052	Zürich	83	1	1	0.29	502
Quercus_yes_16_5°C_3	Quercus	Quercus robur	high	16	5°C	4.31	3	Quercusrobur3	Quercus robur_3_high_16	147	101	12052	Zürich	83	1	0	0.11	502
Quercus_yes_16_5°C_6	Quercus	Quercus robur	high	16	5°C	4.31	6	Quercusrobur6	Quercus robur_6_high_16	147	101	12052	Zürich	83	1	0	0.22	502
Quercus_yes_16_5°C_8	Quercus	Quercus robur	high	16	5°C	4.31	8	Quercusrobur8	Quercus robur_8_high_16	147	101	12052	Zürich	83	1	0	0.12	502
Fagus_yes_16_5°C_2	Fagus	Fagus sylvatica	high	16	5°C	4.31	2	Fagussylvatica2	Fagus sylvatica_2_high_16	147	101	12052	Zürich	83	1	1	1	502
Fagus_yes_16_5°C_3	Fagus	Fagus sylvatica	high	16	5°C	4.31	3	Fagussylvatica3	Fagus sylvatica_3_high_16	147	101	12052	Zürich	83	1	0	0.56	502
Carpinus_no_16_5°C_2	Carpinus	Carpinus betulus	low	16	5°C	4.4	2	Carpinusbetulus2	Carpinus betulus_2_low_16	91	101	10658	Zürich	27	1	0	0.76	444
Carpinus_no_16_5°C_4	Carpinus	Carpinus betulus	low	16	5°C	4.4	4	Carpinusbetulus4	Carpinus betulus_4_low_16	91	101	10658	Zürich	27	1	0	1	444
Carpinus_no_16_5°C_6	Carpinus	Carpinus betulus	low	16	5°C	4.4	6	Carpinusbetulus6	Carpinus betulus_6_low_16	91	101	10658	Zürich	27	1	0	0.91	444
Carpinus_no_16_5°C_1	Carpinus	Carpinus betulus	low	16	5°C	4.39	1	Carpinusbetulus1	Carpinus betulus_1_low_16	87	97	10212	Zürich	27	1	0	0.93	426
Fagus_yes_16_5°C_4	Fagus	Fagus sylvatica	high	16	5°C	4.33	4	Fagussylvatica4	Fagus sylvatica_4_high_16	141	95	11481	Zürich	83	1	1	0.8	478
Fagus_yes_16_5°C_5	Fagus	Fagus sylvatica	high	16	5°C	4.33	5	Fagussylvatica5	Fagus sylvatica_5_high_16	141	95	11481	Zürich	83	1	1	0.4	478
Fagus_yes_16_5°C_6	Fagus	Fagus sylvatica	high	16	5°C	4.33	6	Fagussylvatica6	Fagus sylvatica_6_high_16	141	95	11481	Zürich	83	1	1	0.56	478
Fagus_yes_16_5°C_7	Fagus	Fagus sylvatica	high	16	5°C	4.33	7	Fagussylvatica7	Fagus sylvatica_7_high_16	141	95	11481	Zürich	83	1	0	0.67	478
Betula_no_16_5°C_7	Betula	Betula pendula	low	16	5°C	4.39	7	Betulapendula7	Betula pendula_7_low_16	81	91	9590	Zürich	27	1	0	0.96	400
Betula_yes_16_5°C_8	Betula	Betula pendula	high	16	5°C	4.38	8	Betulapendula8	Betula pendula_8_high_16	130	84	10436	Zürich	83	1	0	0.8	435
Fagus_yes_16_5°C_8	Fagus	Fagus sylvatica	high	16	5°C	4.38	8	Fagussylvatica8	Fagus sylvatica_8_high_16	130	84	10436	Zürich	83	1	1	1	435
Betula_yes_16_5°C_6	Betula	Betula pendula	high	16	5°C	4.42	6	Betulapendula6	Betula pendula_6_high_16	123	77	9773	Zürich	83	1	0	0.96	407
Betula_yes_16_5°C_1	Betula	Betula pendula	high	16	5°C	4.5	1	Betulapendula1	Betula pendula_1_high_16	105	59	7985	Zürich	83	1	0	0.77	333
Betula_yes_16_5°C_4	Betula	Betula pendula	high	16	5°C	4.5	4	Betulapendula4	Betula pendula_4_high_16	105	59	7985	Zürich	83	1	0	0.43	333
Carpinus_yes_16_5°C_7	Carpinus	Carpinus betulus	high	16	5°C	4.5	7	Carpinusbetulus7	Carpinus betulus_7_high_16	105	59	7985	Zürich	83	1	0	0.48	333
Betula_yes_16_5°C_3	Betula	Betula pendula	high	16	5°C	4.53	3	Betulapendula3	Betula pendula_3_high_16	102	56	7699	Zürich	83	1	0	0.94	321
Betula_yes_16_5°C_5	Betula	Betula pendula	high	16	5°C	4.53	5	Betulapendula5	Betula pendula_5_high_16	102	56	7699	Zürich	83	1	0	0.91	321
Carpinus_yes_16_5°C_8	Carpinus	Carpinus betulus	high	16	5°C	4.53	8	Carpinusbetulus8	Carpinus betulus_8_high_16	102	56	7699	Zürich	83	1	0	1	321
Betula_yes_16_5°C_2	Betula	Betula pendula	high	16	5°C	4.54	2	Betulapendula2	Betula pendula_2_high_16	99	53	7389	Zürich	83	1	0	0.31	308
Carpinus_yes_16_5°C_2	Carpinus	Carpinus betulus	high	16	5°C	4.54	2	Carpinusbetulus2	Carpinus betulus_2_high_16	99	53	7389	Zürich	83	1	0	0.78	308
Carpinus_yes_16_5°C_4	Carpinus	Carpinus betulus	high	16	5°C	4.54	4	Carpinusbetulus4	Carpinus betulus_4_high_16	99	53	7389	Zürich	83	1	0	0.67	308
Carpinus_yes_16_5°C_5	Carpinus	Carpinus betulus	high	16	5°C	4.54	5	Carpinusbetulus5	Carpinus betulus_5_high_16	99	53	7389	Zürich	83	1	0	0.83	308
Betula_yes_16_5°C_7	Betula	Betula pendula	high	16	5°C	4.54	7	Betulapendula7	Betula pendula_7_high_16	96	50	7059	Zürich	83	1	0	1	294
Carpinus_yes_16_5°C_3	Carpinus	Carpinus betulus	high	16	5°C	4.54	3	Carpinusbetulus3	Carpinus betulus_3_high_16	96	50	7059	Zürich	83	1	0	0.8	294
Carpinus_yes_16_5°C_6	Carpinus	Carpinus betulus	high	16	5°C	4.54	6	Carpinusbetulus6	Carpinus betulus_6_high_16	96	50	7059	Zürich	83	1	0	1	294
Carpinus_yes_16_5°C_1	Carpinus	Carpinus betulus	high	16	5°C	4.54	1	Carpinusbetulus1	Carpinus betulus_1_high_16	91	45	6512	Zürich	83	1	0	1	271
Acer_no_16_15°C_1	Acer	Acer pseudoplatanus	low	16	15°C	14.97	1	Acerpseudoplatanus1	Acer pseudoplatanus_1_low_16	112	122	43846	Zürich	27	1	1	0.17	1827
Fagus_no_8_15°C_1	Fagus	Fagus sylvatica	low	8	15°C	14.5	1	Fagussylvatica1	Fagus sylvatica_1_low_8	105	115	40015	Zürich	27	1	0	0.38	1667
Acer_no_16_10°C_1	Acer	Acer pseudoplatanus	low	16	10°C	9.89	1	Acerpseudoplatanus1	Acer pseudoplatanus_1_low_16	152	162	38464	Zürich	27	1	1	0.33	1603
Acer_no_8_15°C_5	Acer	Acer pseudoplatanus	low	8	15°C	14.49	5	Acerpseudoplatanus5	Acer pseudoplatanus_5_low_8	99	109	37909	Zürich	27	1	0	0.33	1580
Acer_no_8_10°C_5	Acer	Acer pseudoplatanus	low	8	10°C	9.68	5	Acerpseudoplatanus5	Acer pseudoplatanus_5_low_8	152	162	37638	Zürich	27	1	0	0.13	1568
Acer_no_16_10°C_2	Acer	Acer pseudoplatanus	low	16	10°C	9.91	2	Acerpseudoplatanus2	Acer pseudoplatanus_2_low_16	141	151	35923	Zürich	27	1	1	0.13	1497
Acer_no_8_15°C_4	Acer	Acer pseudoplatanus	low	8	15°C	14.5	4	Acerpseudoplatanus4	Acer pseudoplatanus_4_low_8	91	101	35144	Zürich	27	1	1	0.33	1464
Fagus_no_8_15°C_4	Fagus	Fagus sylvatica	low	8	15°C	14.5	4	Fagussylvatica4	Fagus sylvatica_4_low_8	91	101	35144	Zürich	27	1	0	0.28	1464
Acer_no_8_10°C_4	Acer	Acer pseudoplatanus	low	8	10°C	9.69	4	Acerpseudoplatanus4	Acer pseudoplatanus_4_low_8	137	147	34185	Zürich	27	1	1	0.4	1424
Tilia_yes_8_20°C_6	Tilia	Tilia cordata	high	8	20°C	20.02	6	Tiliacordata6	Tilia cordata_6_high_8	96	50	25635	Zürich	83	1	0	0.25	1068
Fagus_no_8_15°C_2	Fagus	Fagus sylvatica	low	8	15°C	14.5	2	Fagussylvatica2	Fagus sylvatica_2_low_8	87	97	33764	Zürich	27	1	1	0.33	1407
Fagus_no_8_15°C_8	Fagus	Fagus sylvatica	low	8	15°C	14.5	8	Fagussylvatica8	Fagus sylvatica_8_low_8	87	97	33764	Zürich	27	1	1	0.6	1407
Acer_no_16_10°C_5	Acer	Acer pseudoplatanus	low	16	10°C	9.94	5	Acerpseudoplatanus5	Acer pseudoplatanus_5_low_16	130	140	33383	Zürich	27	1	0	0.17	1391
Tilia_no_8_10°C_8	Tilia	Tilia cordata	low	8	10°C	9.7	8	Tiliacordata8	Tilia cordata_8_low_8	133	143	33283	Zürich	27	1	1	0.3	1387
Tilia_no_16_15°C_8	Tilia	Tilia cordata	low	16	15°C	15.02	8	Tiliacordata8	Tilia cordata_8_low_16	81	91	32809	Zürich	27	1	1	0.08	1367
Acer_no_8_10°C_2	Acer	Acer pseudoplatanus	low	8	10°C	9.7	2	Acerpseudoplatanus2	Acer pseudoplatanus_2_low_8	130	140	32595	Zürich	27	1	1	0.8	1358
Acer_no_16_10°C_3	Acer	Acer pseudoplatanus	low	16	10°C	9.94	3	Acerpseudoplatanus3	Acer pseudoplatanus_3_low_16	126	136	32451	Zürich	27	1	0	0.4	1352
Tilia_no_16_10°C_1	Tilia	Tilia cordata	low	16	10°C	9.94	1	Tiliacordata1	Tilia cordata_1_low_16	126	136	32451	Zürich	27	1	1	0.25	1352
Acer_yes_8_20°C_5	Acer	Acer pseudoplatanus	high	8	20°C	20.11	5	Acerpseudoplatanus5	Acer pseudoplatanus_5_high_8	87	41	21398	Zürich	83	1	0	0.17	892
Acer_no_16_10°C_6	Acer	Acer pseudoplatanus	low	16	10°C	9.95	6	Acerpseudoplatanus6	Acer pseudoplatanus_6_low_16	123	133	31758	Zürich	27	1	1	0.15	1323
Tilia_no_16_10°C_8	Tilia	Tilia cordata	low	16	10°C	9.95	8	Tiliacordata8	Tilia cordata_8_low_16	123	133	31758	Zürich	27	1	1	0.17	1323
Acer_no_8_10°C_1	Acer	Acer pseudoplatanus	low	8	10°C	9.71	1	Acerpseudoplatanus1	Acer pseudoplatanus_1_low_8	126	136	31679	Zürich	27	1	0	0.22	1320
Acer_no_8_10°C_3	Acer	Acer pseudoplatanus	low	8	10°C	9.71	3	Acerpseudoplatanus3	Acer pseudoplatanus_3_low_8	126	136	31679	Zürich	27	1	1	0.44	1320
Tilia_no_8_10°C_1	Tilia	Tilia cordata	low	8	10°C	9.71	1	Tiliacordata1	Tilia cordata_1_low_8	126	136	31679	Zürich	27	1	1	0.3	1320
Tilia_no_8_10°C_6	Tilia	Tilia cordata	low	8	10°C	9.71	6	Tiliacordata6	Tilia cordata_6_low_8	126	136	31679	Zürich	27	1	0	0.22	1320
Tilia_no_8_10°C_7	Tilia	Tilia cordata	low	8	10°C	9.71	7	Tiliacordata7	Tilia cordata_7_low_8	126	136	31679	Zürich	27	1	1	0.38	1320
Tilia_no_8_15°C_6	Tilia	Tilia cordata	low	8	15°C	14.51	6	Tiliacordata6	Tilia cordata_6_low_8	81	91	31687	Zürich	27	1	0	0.12	1320
Tilia_no_8_15°C_8	Tilia	Tilia cordata	low	8	15°C	14.51	8	Tiliacordata8	Tilia cordata_8_low_8	81	91	31687	Zürich	27	1	0	0.13	1320
Acer_no_16_15°C_4	Acer	Acer pseudoplatanus	low	16	15°C	15.03	4	Acerpseudoplatanus4	Acer pseudoplatanus_4_low_16	74	84	30303	Zürich	27	1	1	0.2	1263
Fagus_no_8_15°C_3	Fagus	Fagus sylvatica	low	8	15°C	14.5	3	Fagussylvatica3	Fagus sylvatica_3_low_8	77	87	30278	Zürich	27	1	1	0.36	1262
Fagus_no_8_15°C_6	Fagus	Fagus sylvatica	low	8	15°C	14.5	6	Fagussylvatica6	Fagus sylvatica_6_low_8	77	87	30278	Zürich	27	1	0	0.71	1262
Fagus_no_8_15°C_7	Fagus	Fagus sylvatica	low	8	15°C	14.5	7	Fagussylvatica7	Fagus sylvatica_7_low_8	77	87	30278	Zürich	27	1	0	0.45	1262
Fagus_no_8_10°C_5	Fagus	Fagus sylvatica	low	8	10°C	9.72	5	Fagussylvatica5	Fagus sylvatica_5_low_8	119	129	30083	Zürich	27	1	0	0.83	1253
Acer_no_8_10°C_6	Acer	Acer pseudoplatanus	low	8	10°C	9.72	6	Acerpseudoplatanus6	Acer pseudoplatanus_6_low_8	116	126	29406	Zürich	27	1	0	0.44	1225
Acer_no_16_15°C_3	Acer	Acer pseudoplatanus	low	16	15°C	15.03	3	Acerpseudoplatanus3	Acer pseudoplatanus_3_low_16	71	81	29225	Zürich	27	1	0	0.2	1218
Tilia_no_16_10°C_6	Tilia	Tilia cordata	low	16	10°C	9.97	6	Tiliacordata6	Tilia cordata_6_low_16	112	122	29183	Zürich	27	1	1	0.39	1216
Acer_yes_16_20°C_5	Acer	Acer pseudoplatanus	high	16	20°C	20.4	5	Acerpseudoplatanus5	Acer pseudoplatanus_5_high_16	84	38	20217	Zürich	83	1	0	0.38	842
Acer_yes_8_15°C_1	Acer	Acer pseudoplatanus	high	8	15°C	14.63	1	Acerpseudoplatanus1	Acer pseudoplatanus_1_high_8	123	77	28652	Zürich	83	1	0	0.1	1194
Acer_no_16_15°C_6	Acer	Acer pseudoplatanus	low	16	15°C	15.04	6	Acerpseudoplatanus6	Acer pseudoplatanus_6_low_16	68	78	28151	Zürich	27	1	0	0.11	1173
Tilia_no_16_15°C_6	Tilia	Tilia cordata	low	16	15°C	15.04	6	Tiliacordata6	Tilia cordata_6_low_16	68	78	28151	Zürich	27	1	1	0.13	1173
Fagus_no_8_10°C_1	Fagus	Fagus sylvatica	low	8	10°C	9.74	1	Fagussylvatica1	Fagus sylvatica_1_low_8	109	119	27818	Zürich	27	1	1	1	1159
Tilia_no_8_5°C_1	Tilia	Tilia cordata	low	8	5°C	5.58	1	Tiliacordata1	Tilia cordata_1_low_8	193	203	27196	Zürich	27	1	0	0.14	1133
Tilia_no_8_5°C_8	Tilia	Tilia cordata	low	8	5°C	5.58	8	Tiliacordata8	Tilia cordata_8_low_8	193	203	27196	Zürich	27	1	0	0.31	1133
Quercus_no_8_5°C_2	Quercus	Quercus robur	low	8	5°C	5.58	2	Quercusrobur2	Quercus robur_2_low_8	193	203	27196	Zürich	27	1	0	0.14	1133
Tilia_no_8_15°C_7	Tilia	Tilia cordata	low	8	15°C	14.5	7	Tiliacordata7	Tilia cordata_7_low_8	68	78	27142	Zürich	27	1	1	0.26	1131
Fagus_no_8_15°C_5	Fagus	Fagus sylvatica	low	8	15°C	14.5	5	Fagussylvatica5	Fagus sylvatica_5_low_8	68	78	27142	Zürich	27	1	0	0.31	1131
Tilia_no_8_10°C_3	Tilia	Tilia cordata	low	8	10°C	9.74	3	Tiliacordata3	Tilia cordata_3_low_8	105	115	26886	Zürich	27	1	1	0.55	1120
Tilia_no_8_10°C_4	Tilia	Tilia cordata	low	8	10°C	9.74	4	Tiliacordata4	Tilia cordata_4_low_8	105	115	26886	Zürich	27	1	1	0.85	1120
Fagus_no_8_10°C_2	Fagus	Fagus sylvatica	low	8	10°C	9.74	2	Fagussylvatica2	Fagus sylvatica_2_low_8	105	115	26886	Zürich	27	1	1	0.5	1120
Tilia_no_16_10°C_4	Tilia	Tilia cordata	low	16	10°C	9.98	4	Tiliacordata4	Tilia cordata_4_low_16	102	112	26831	Zürich	27	1	0	0.33	1118
Tilia_no_16_10°C_7	Tilia	Tilia cordata	low	16	10°C	9.98	7	Tiliacordata7	Tilia cordata_7_low_16	102	112	26831	Zürich	27	1	1	0.15	1118
Quercus_no_16_10°C_4	Quercus	Quercus robur	low	16	10°C	9.98	4	Quercusrobur4	Quercus robur_4_low_16	102	112	26831	Zürich	27	1	0	0.38	1118
Tilia_yes_8_10°C_6	Tilia	Tilia cordata	high	8	10°C	9.71	6	Tiliacordata6	Tilia cordata_6_high_8	152	106	26316	Zürich	83	1	1	0.25	1097
Tilia_no_8_5°C_6	Tilia	Tilia cordata	low	8	5°C	5.58	6	Tiliacordata6	Tilia cordata_6_low_8	186	196	26259	Zürich	27	1	0	0.19	1094
Acer_no_8_10°C_8	Acer	Acer pseudoplatanus	low	8	10°C	9.74	8	Acerpseudoplatanus8	Acer pseudoplatanus_8_low_8	102	112	26179	Zürich	27	1	0	0.5	1091
Fagus_no_8_10°C_3	Fagus	Fagus sylvatica	low	8	10°C	9.74	3	Fagussylvatica3	Fagus sylvatica_3_low_8	102	112	26179	Zürich	27	1	1	0.75	1091
Fagus_no_8_10°C_4	Fagus	Fagus sylvatica	low	8	10°C	9.74	4	Fagussylvatica4	Fagus sylvatica_4_low_8	102	112	26179	Zürich	27	1	1	1	1091
Fagus_no_8_10°C_7	Fagus	Fagus sylvatica	low	8	10°C	9.74	7	Fagussylvatica7	Fagus sylvatica_7_low_8	102	112	26179	Zürich	27	1	1	1	1091
Acer_no_16_10°C_8	Acer	Acer pseudoplatanus	low	16	10°C	9.99	8	Acerpseudoplatanus8	Acer pseudoplatanus_8_low_16	99	109	26121	Zürich	27	1	0	0.29	1088
Acer_yes_16_20°C_6	Acer	Acer pseudoplatanus	high	16	20°C	20.45	6	Acerpseudoplatanus6	Acer pseudoplatanus_6_high_16	81	35	18790	Zürich	83	1	0	0.29	783
Tilia_yes_16_20°C_6	Tilia	Tilia cordata	high	16	20°C	20.45	6	Tiliacordata6	Tilia cordata_6_high_16	81	35	18790	Zürich	83	1	0	0.13	783
Acer_no_16_15°C_8	Acer	Acer pseudoplatanus	low	16	15°C	15.04	8	Acerpseudoplatanus8	Acer pseudoplatanus_8_low_16	61	71	25631	Zürich	27	1	1	0.1	1068
Tilia_no_16_15°C_7	Tilia	Tilia cordata	low	16	15°C	15.04	7	Tiliacordata7	Tilia cordata_7_low_16	61	71	25631	Zürich	27	1	1	0.11	1068
